# 8万精准超小词库
# 原始出处未知，多音字注音移除，第一个词“是的这个”改成“是的”
# https://github.com/studyzy/imewlconverter/blob/master/参考/8万精准超小词库.txt
#
# 词语	多音字备注

点着	着zhao
抄没	没mo
误听	
恰切	
提箱	提ti
趿拉	
党票	
豪举	
夜盲	
檐口	
折半	折zhe
羞人	
袭取	
计取	
飞报	
查夜	查cha
暗桩	
琐细	
难活	
膂力	
凿空	凿zao
电稿	
港客	
诨号	
活扣	
扣眼	
叠印	
围嘴	
赠别	
泅水	
暗弱	
当票	
统购	
牙祭	祭ji
装殓	
汉城	
拆信	拆chai
绷断	
嫖过	
铅封	铅qian
弄糟	弄nong
违令	
空炮	炮pao
丧乱	
三夏	
哄劝	
告病	
废都	都du
倒运	
拖来	
油矿	
师训	
停薪	
天暖	
挂档	
呆站	
喊破	
撞针	
追猎	
续娶	
偷嘴	
节略	
江民	
胡搅	
磁道	
垂线	
书札	
挨砖	
多慢	
勾销	
扔弃	
扑粉	
另需	
跨坐	
黑窝	
抽税	
退亲	亲qin
外寇	
鲁钝	
逃归	
悬梯	
渔乡	
银弹	弹dan
界标	
僵卧	
碰翻	
弄假	弄nong
敛钱	
退庭	
兔年	
出丧	
错放	
吊桶	
赋值	
割弃	
黑路	
鸡雏	
码长	长chang
绝嗣	
炮眼	炮pao
赶趟	
陷坑	
恼我	
赏阅	
案牍	
把稳	
捕捉	
缠结	
应诊	
凶年	
修面	
犯境	
俄顷	
躲掉	
凹面	凹ao
踢来	
挑嘴	
田坎	
输理	
生客	
歪处	
哀切	
粗率	率shuai
筹借	
德操	
废置	
浑如	
软尺	尺chi
尿泡	尿sui
酷肖	
款姐	
懒做	
陪房	房fang
祸殃	
玷辱	
乱臣	
守擂	
铁拐	
四旧	
细挑	
绣像	
饯别	
见教	见jian
焦脆	
短柄	
绷住	
索还	还huan
特早	
听装	
滤纸	
新寡	
外存	
便函	便bian
倒换	
精斑	
掘土	
漆工	
亲故	亲qin
唱和	和he
团坐	
拖你	
校阅	校jiao
训词	
藤球	
草帘	
短褂	
脚冷	脚jiao
解送	解jie
偷望	
佯称	称cheng
拙荆	
砸缸	
羊毫	
偷电	
记熟	熟shu
访查	查cha
各集	
好粗	
陡立	
部优	
暗记	
妄说	说shuo
矮树	
凫水	
稍矮	
盘亘	
抗婚	
磕掉	
合辙	合he
点卯	
怅恨	
猪鬃	
亮分	
品脱	
搜剿	剿jiao
宝刹	刹cha
补语	
挥斥	
狡狯	
淫书	
喜丧	
追补	
走脱	
做种	种zhong
挣断	
助词	
姓侯	
悬腕	
洋罪	
又求	
后影	
督工	
通译	
孝衣	
冰消	
抵罪	
垫板	
国戚	
日戳	
塞责	塞se
破布	
麻包	
僧帽	
讽谏	
吊打	
衡阳	
乱刺	
木造	
姘居	
罢职	
交保	
豪士	
俭省	省sheng
悬心	
姓任	
追逼	
整列	
咬坏	坏huai
牙具	
饮弹	弹dan
红蛋	红hong
本纪	
膀臂	膀bang|臂bi
调制	调tiao
扇坠	
再弱	
武旦	
薪饷	
安设	
扔来	
滥捕	
没羞	没mei
抿住	
陪夜	
凡例	
冲车	车che
误算	
圆浑	
择取	择ze
重试	重chong
拿获	
涝灾	
舔得	得de
太卡	卡ka
搬用	
旱路	
贱内	
疑阵	
正弦	
头雁	
仿建	
手勤	
驱遣	
竹叶	叶ye
叱骂	
底货	底di
留职	
面谢	
枯焦	
天浴	
雹子	
残匪	
根式	
骄躁	
焦枯	
揭丑	
提桶	提ti
桐城	
试工	
双名	
卖屋	
孀居	
凡庸	
分米	
赃官	
两便	便bian
票额	
商酌	
死钱	
防旱	
硬弓	
摇把	
畜类	畜chu
减号	
寒苦	
纯钢	
党旗	
党章	
驽马	
脓水	
暂放	
心毒	
没升	没mei
盘结	
弱在	
烦恶	恶e
年利	
歇凉	
卧车	车che
原封	
弄僵	弄nong
省优	省sheng
叔母	
喧扰	
雄劲	劲jing
专席	
主刑	
口授	
宿仇	宿su|仇chou
受窘	
皂荚	
中册	
益鸟	鸟niao
兴亡	亡wang
诚笃	
承印	
恒等	
快书	
啃过	
稔熟	熟shu
窃据	
三害	
吵骂	
我得	得dei
拖她	
茶炉	
党证	
雄鱼	
正切	
匀出	
姓乔	
畜养	畜xu
供果	
彩桥	
语料	
舞迷	
鲜于	
妄求	
猝发	
粗哑	
告竣	
揽活	
复句	句ju
调弄	调tiao|弄nong
粗体	
译电	
脑勺	
踩坏	坏huai
传名	传chuan
杂税	
镇尺	尺chi
仰睡	
含银	
察访	
凿穿	凿zao
预考	
倒赔	
调准	调tiao
豁嘴	豁huo
散座	
扛走	扛kang
裤筒	
老雕	
浑朴	朴pu
服罪	
掉膘	
斥退	
栓塞	塞se
阿嚏	阿a
邮来	
脑后	
扭摆	
松气	
辍笔	
单姓	单dan
鹅群	
噩运	
弄拧	弄nong
放怀	
诡奇	奇qi
幼弱	
主格	
韵调	调diao
姓费	
又及	
集拢	
扒灰	扒pa
报失	
私信	
套改	
俚俗	
婢仆	
抽光	
欧体	
久慕	
捆紧	
阔人	
令兄	
裤线	
切盼	
负号	
臭作	臭chou
审校	校jiao
台属	属shu
验关	
下阕	
枸杞	枸gou
夹棍	夹jia
浇洒	
淌汗	
内射	
邮车	车che
诚朴	朴pu
笔套	
拐来	
三拼	
昆仲	
骚体	
彀中	
副券	券quan
冲犯	
矮点	
廉明	
死锁	
姓吴	
姓于	
姓萧	
姓许	
姓沈	
姓曾	曾zeng
姓彭	
姓吕	
姓卢	
姓贾	贾jia
姓叶	叶ye
姓严	
姓阎	
姓余	
姓潘	
姓夏	
姓钟	
姓汪	
姓姜	
姓范	
姓方	
姓石	石shi
姓谭	
姓廖	
姓邹	
姓陆	陆lu
姓郝	
姓孔	
姓崔	
姓康	
姓毛	
姓邱	
姓史	
姓邵	
姓龙	
姓万	万wan
姓雷	
姓汤	汤tang
姓尹	
姓易	
姓常	
姓武	
姓贺	
姓赖	
姓龚	
姓文	
姓庞	
姓樊	
姓兰	
姓施	
姓陶	陶tao
姓洪	
姓翟	翟zhai
姓安	
姓颜	
姓倪	
姓牛	
姓温	
姓俞	俞yu
姓章	
姓鲁	
姓伍	
姓申	
姓尤	
姓毕	
姓聂	
姓向	
姓路	
姓岳	
姓齐	齐qi
姓梅	
姓莫	
姓庄	
姓辛	
姓祝	
姓左	
姓涂	
姓谷	谷gu
姓舒	
姓牟	牟mou
姓卜	卜bu
姓詹	
姓关	
姓苗	
姓凌	
姓纪	
姓靳	
姓童	
姓欧	
姓甄	
姓项	
姓曲	
姓游	
姓裴	
姓屈	
姓鲍	
姓覃	覃qin
姓霍	
姓隋	
姓甘	
姓景	
姓单	单shan
姓宁	
姓柯	
姓阮	
姓桂	
姓谢	
姓解	解xie
姓蔡	
姓柴	
姓华	
姓吉	
姓刁	
姓瞿	瞿qu
姓戚	
姓丘	
姓古	
姓米	
姓滕	
姓晋	
姓邬	
姓臧	
姓畅	
姓宫	
姓苟	
姓褚	褚chu
姓廉	
姓简	
姓符	
姓奚	
姓木	
姓穆	
姓党	
姓燕	
姓郎	
姓屠	
姓晏	
姓栾	
姓郁	
姓商	
姓喻	
姓窦	
姓迟	
姓宇	
姓糜	糜mi
姓鄢	
姓冷	
姓卓	
姓花	
姓仇	仇qiu
姓艾	艾ai
姓巩	
姓井	
姓仲	
姓乐	乐yue
姓虞	
姓卞	
姓竺	
姓冼	
姓官	
姓楚	
姓佟	
姓匡	
姓宗	
姓巫	
姓鞠	
姓桑	
姓伏	
姓岑	
姓习	
姓朴	朴piao
查检	查cha
好剑	
黄毒	
汇拢	
简则	
走味	
转干	转zhuan
互斥	
雌狮	
掏牌	
誊抄	
利钱	
媒子	
之机	
史评	
倦态	
妙诀	
描图	
倒垂	
弄皱	弄nong
审订	
王晶	
正电	
走题	
鸩毒	
洋炮	炮pao
筒裤	
矜夸	矜jin
单股	单dan
馋鬼	
惭色	色se
私党	
树墩	
拼错	
螺号	
胁从	
歪才	
女尸	
壁报	
划子	划hua
朴刀	朴po
落聘	落luo
凭单	单dan
赊购	
蛇矛	蛇she
图谶	
酿蜜	
姘夫	
查铺	查cha
交拜	
监押	
朽烂	
绽裂	
和珅	和he
之恋	
妲己	
登基	
浊世	
梅雨	
雌虎	
手闸	
直话	
误餐	
薄葬	薄bo
递加	
改扮	
鼓弄	弄nong
科盲	
缉查	缉ji|查cha
记恨	
骂阵	
软席	
死死	
吊祭	祭ji
除数	数shu
乌有	
累次	
绕嘴	
挤来	
厌恨	
悻然	
姓邢	
灾患	
续读	读du
偷尝	
阴文	
借代	
公举	
见长	见jian|长chang
年貌	
末座	
谬传	传chuan
抄件	
篡国	
齐秦	齐qi
蛇足	蛇she
适销	适shi
馈送	
库仑	
主表	
重犯	重zhong
同庚	
洋荤	荤hun
肇祸	
整行	行hang
硬手	
碱度	度du
补打	
筛出	
团章	
迟误	
勾留	
船货	
平足	
轰赶	
刮刀	
惨样	
港汊	
痴长	长zhang
趋附	
扒车	扒ba|车che
擦油	
解扣	解jie
钻劲	劲jin
几列	
拆屋	拆chai
船费	
通匪	
商亭	
内债	
党徽	
赠物	
粗读	读du
低格	
付讫	
多瞧	
洞晓	
社戏	戏xi
水锈	
坪坝	
空集	
挂花	
妥否	否fou
误期	期qi
押款	
针尖	
哪科	哪na
闪屏	屏ping
删削	削xue
讼案	
暗沟	
焦雷	
剿除	剿jiao
解调	解jie|调tiao
浊音	
广柑	广guang
诡称	称cheng
彩卷	
铅丝	铅qian
顽匪	
负电	
开戒	
被爆	
卖友	
口爆	
缺页	
畜牲	畜chu
挂斗	
钩状	
赶点	
赶奔	
电烫	
错谬	
笔算	
拖斗	
球胆	
聘约	约yue
奇痛	奇qi
市制	
戳子	
解包	解jie
江轮	
酣醉	
躲让	
宿娼	宿su
膻气	
票汇	
宅院	
再真	
凸面	
钝角	角jiao
会剿	会hui|剿jiao
旧观	
评功	
狸猫	
苟全	
贬称	称cheng
撤防	
泻肚	
歇宿	宿su
小殷	殷yin
笨死	
自量	
凶焰	
脚镯	脚jiao
舱底	底di
挺瘦	
缮写	
姘妇	
罄尽	
嫩皮	
明喻	
溃乱	溃kui
眉端	
凭仗	
话旧	
美文	
抵账	
粗估	
漏嘴	
殊勋	
提兜	提ti
搜缴	缴jiao
笨驴	
乙烷	
淫浪	
张志	
争闹	
姓韦	
搔首	
笃厚	
裁开	
背约	约yue
台扇	
套问	
哀啼	
命笔	
陪住	
空身	
口紧	
裹腿	
蜂后	
窜逃	
意群	
吓着	吓xia|着zhao
颂词	
组员	员yuan
诏曰	
抓完	
更饿	
脱漏	
托故	
窝气	
秤盘	秤cheng
儒医	
涮洗	洗xi
横死	
马料	
盘诘	诘jie
傧相	
蟾酥	
年兄	
拔锚	
草体	
洋财	
姓黎	
姓熊	
姓殷	殷yin
访寻	寻xun
讹钱	
笃守	
呆笨	
茶托	
坦直	
添设	
输定	
难哪	哪na
钉锤	
核批	核he
爽目	
东晋	
倦乏	
精赤	
懒猴	
拦劫	
救去	
金镯	
齐王	齐qi
搞丢	
递升	
趁便	便bian
原码	
诈败	
拧松	
数制	数shu
宿儒	宿su
防涝	
粗重	重zhong
换页	
主盘	
助工	
惯技	
换亲	亲qin
榫头	
略写	
凸版	
闯开	
叠韵	
惠临	
不克	
进款	
敬贺	
陪看	
医卜	卜bu
赘拼	
怫然	
钢尺	尺chi
调房	调tiao|房fang
土货	
脱盲	
误车	车che
帧数	帧zhen|数shu
展翅	
戒刀	
胸内	
招干	
火夫	
销账	
泛论	
属谁	属shu|谁shei
卧房	房fang
笑穴	
窝赃	
窝工	
辟易	辟bi
丛集	
告贷	
肉案	
拘拿	
追根	
盘货	
稍细	
祸胎	
砂眼	
猜先	
舱面	
读档	读du
庸夫	
余存	
瞎诌	
族权	
制黄	
姨表	
赌风	
辞岁	
跋文	
挑弄	弄nong
竖放	
书贩	
两讫	
俚曲	
挖穿	
哀恳	
熔解	解jie
石坛	石shi
空肚	
横眉	
拴紧	
枉作	
邮去	
置买	
贼赃	
墨渍	
累病	
书眉	
送款	
补角	角jiao
贩黄	
页宽	
枕垫	
嘴紧	
龟肉	龟gui
探风	
然否	否fou
前脑	
略称	称cheng
姑表	
缉获	缉ji
催产	
婉辞	
吕布	
孽根	
穷根	
岂但	
啼泣	
誊清	
缩印	缩suo
单帮	单dan
蝈蝈	
依允	
淫虐	
喜联	
烟垢	烟yan
投医	
毒刑	
厮缠	
套版	
坍陷	
烦神	
扣光	
卖俏	
警亭	
抛舍	
秽行	行xing
搞脏	
负约	约yue
睡帽	
棋联	
删词	
衰迈	衰shuai
戳入	
红媒	红hong
交账	
余角	角jiao
药皂	
针鼻	
找还	还huan
细情	
奖旗	
狡谲	
暗杠	
所缠	
市尺	尺chi
误场	
泄劲	劲jin
忘字	
涮人	
渡边	
稽考	稽ji
改样	
摈除	
陷没	没mo
弄弯	弄nong
红磷	红hong
荒置	
艳服	
街霸	
虎钳	
蒜黄	
内详	
险诈	
涤棉	
贺函	
哼哧	
酒龄	
阴唇	
边卡	卡qia
泄底	底di
亨通	
角部	角jiao
南无	南na|无mo
拗断	拗ao
扳转	扳ban|转zhuan
草约	约yue
印台	
朽败	
宗匠	
姓段	
姓蓝	
小穴	
公假	
词首	
索购	
丝糕	
肾病	
汇聚	
不合	合he
和衣	和he
合一	合he
货流	
排笔	
面洽	
生身	
收枰	
搁起	
殡殓	
陈胜	
挺胖	胖pang
拆卖	拆chai
罕用	
函大	大da
耕畜	畜chu
折椅	折zhe
嘴严	
姓耿	
瞎闯	
野宴	
家慈	家jia
和暖	和he
踏看	
声旁	
千赫	
山乡	
山响	
欢歌	
冷烫	
交恶	恶wu
哄传	传chuan
巧辩	
瓶胆	
窘促	
盼复	
货样	
归葬	
奉赠	
副品	
善终	
闹灾	
报听	
吹拍	
毫厘	
金钗	
月老	
把兄	
素酒	
契文	契qi
彖辞	
刁顽	
愧恨	
元音	
外码	
穷相	
秘要	秘mi
尾码	尾wei
琢磨	琢zhuo
纯赚	赚zhuan
再矮	
会意	会hui
相向	
金玉	
插紧	
授粉	
徽章	
货损	
孔穴	
慢班	
疯魔	
桅樯	
诬害	
偏前	
硬席	
晕场	
唁函	
飞得	得de
反踢	
绿软	绿lv
主存	
邮汇	
典押	
缔盟	
不羁	
烘衬	
不更	
瞒哄	
勘校	校jiao
勘正	
秽闻	
粗选	
除号	
略语	
骑缝	骑qi
掏摸	
拆法	拆chai
函调	调diao
角尺	角jiao|尺chi
转轴	转zhuan
录供	
碍手	
盘账	
派购	派pai
跑电	
赊给	给gei
典韦	
旦夕	
萝莉	
挖补	
洛书	
收执	
贾人	贾gu
嘴乖	
音码	
坛主	
未阅	
精校	校jiao
坏块	坏huai
缔交	
长在	长chang
筛孔	
词长	长chang
迟放	
计番	番fan
末将	
简码	
档位	
黜免	
舔吃	
碍口	
卷逃	
拒聘	
銮铃	
俚歌	
坛规	
磁鼓	
短词	
函索	
折尺	折zhe|尺chi
伫候	
页尾	尾wei
焦裂	
失检	
错删	
陈海	
陈玉	
陈文	
李志	
刘德	
李德	
刘明	
刘金	
李金	
刘晓	
杨德	
杨海	
杨玉	
杨小	
刘小	
张德	
张金	
胡语	
老孟	
老门	
沥沥	
卖解	解xie
我摸	
流泻	
惨呼	
静寂	
讯问	
叱问	
哪边	哪na
删错	
贴反	
补码	
插身	
拶指	拶zan
听音	
碌碌	碌lu|碌lu
页高	
金莲	
德比	
天长	长chang
汤唯	汤tang
讥诮	
斋戒	
膏泽	
根号	
赖婚	
大王	大dai
团日	
差集	差cha
连入	
不吝	
失迎	
险堤	
囤聚	囤tun
了了	了liao|了liao
之尊	
毛虾	虾xia
霜害	
幼禽	
药酒	
哑场	
函购	
讼词	
起赃	
摹印	
朝阳	朝zhao
尉迟	尉yu
支那	那na
剽取	
不薄	薄bao
修函	
赝本	
夹牢	夹jia
给付	给ji
调配	调tiao
风月	
系在	系ji
露着	露lou|着zhe
骂谁	谁shei
炮烙	炮pao|烙luo
裸线	
年届	
刑事	
攒机	攒cuan
还很	还hai
寝宫	
巢湖	
可得	得dei
联社	
折辱	折zhe
抢眼	
零封	
狮群	
御姐	
仲永	
淡泊	泊bo
时值	
吐血	血xue
单行	单dan|行hang
款到	
辟邪	辟bi|邪xie
王杰	
遗存	遗yi
李文	
我非	
王文	
刘涛	
张建	
乍露	露lu
花烛	
贴水	
马超	
剥去	剥bao
王峰	
槐花	
海葬	
万难	万wan
王建	
寄寓	
续道	
要目	
旁骛	
动真	
靓妆	靓liang
张明	
欲对	
轧账	轧ga
轧账	轧zha
作美	
上算	
扎啤	扎zha
不聊	
昏花	
卧佛	佛fo
人不	
从人	
协力	
的歌	的de
咯血	咯ka|血xue
放血	血xue
谁在	谁shei
鲸鲨	
为谁	谁shei
给谁	给gei|谁shei
谁要	谁shei
谁呀	谁shei
谁叫	谁shei
绝壁	
布什	什shi
乐得	乐le|得de
文王	
刚毅	
折戟	折zhe
书斋	
九霄	
遥感	
幽禁	
要隘	
诗云	
回跌	
校里	校xiao
药膏	
港商	
向谁	谁shei
怨谁	谁shei
谁会	谁shei|会hui
谁想	谁shei
谁与	谁shei
谁让	谁shei
谁家	谁shei|家jia
谁看	谁shei
跟谁	谁shei
谁对	谁shei
让谁	谁shei
谁料	谁shei
看谁	谁shei
怪谁	谁shei
鹞鹰	
万贯	万wan
指摘	
乍得	得de
废帝	
车臣	车che
搓麻	
尾页	尾wei
分录	
锥体	
从西	
撞死	
老曾	曾zeng
老陶	陶tao
剪破	
老叶	叶ye
老董	
老莫	
老吕	
老卢	
老熊	
老廖	
老梁	
老翟	翟zhai
老樊	
恰被	
小卢	
小翟	翟zhai
小樊	
蹭她	
罚她	
均对	
老肖	
你恨	
老薛	
老柳	
老桂	
同铺	
头夜	
老邹	
老韦	
老殷	殷yin
老舒	
撕脱	
小郝	
小邹	
老纪	
归她	
小朴	朴piao
宏基	
四外	
地脉	地di|脉mai
照章	
交迫	迫po
战前	
幼体	
林彪	
兴兵	
王玉	
又得	得de
后学	
衡水	
到外	
胜券	券quan
杀戒	
卧虎	
组歌	
廷杖	
爆乳	
大鹏	大da
相位	
她走	
豆角	角jiao
矿泉	
瞑目	
眉睫	
收音	
走边	
疾刺	
姜维	
害己	
安寝	
首码	
马蜂	
家常	家jia
炼乳	
勾勒	勒le
网通	
杂说	说shuo
生菜	
眉批	
正太	
刘欢	
昙花	
条形	
敢保	
珍妮	
微露	露lu
用费	
弃他	
弃她	
菲林	
现汉	
意会	会hui
江青	
笔锋	
拓片	拓ta
茴香	
南宫	南nan
周迅	
老尚	
陈金	
从了	了le
张栩	
右乳	
左乳	
圣手	
美腿	
徒孙	
确在	
人望	
迢迢	
虎鲸	
棺椁	
年夜	
阿玛	阿a
作准	
兼程	
甲兵	
砀山	
尔后	
铁通	
车辙	车che
次郎	
金庸	
猜一	
非典	
或曰	
普京	
验血	血xie
安装在	
二字词	
二十五	
安乐死	乐le
安装版	
阿富汗	阿a
安装包	
而不是	
二季度	度du
阿拉伯	阿a|伯bo
爱好者	
奥运会	会hui
按空格	
按顺序	
而在于	
儿童节	
安装前	
阿联酋	阿a
不正常	
不知道	
不方便	便bian
不固定	
不需要	
不可能	
不喜欢	
不习惯	
不一致	
不可比	
不出来	
便携版	便bian
不可以	
不是吧	
不属于	属shu
不高兴	
不使用	
不好用	
不一样	
不承认	
不了解	了liao|解jie
病毒库	
不规范	
不得不	得de
不合理	合he
不希望	
不好办	
不应该	
不在家	家jia
不在乎	
不明白	
版本号	
不会是	会hui
并不是	
不一定	
不适合	适shi|合he
不在意	
不说话	说shuo
必要时	
不完整	
不光是	
不同意	
笔记本	
不现实	
不再有	
不成功	
不影响	
不会有	会hui
不错的	的de
不会被	会hui
别忘了	了le
不关心	
不符合	合he
不适应	适shi
不过来	
不是说	说shuo
不相信	
不行了	行xing|了le
不支持	
不会吧	会hui
不是我	
不限制	
不就是	
不可取	
不满意	
不得了	得de|了liao
不出门	
不舒服	
不允许	
不到位	
不好使	
不理睬	
不是在	
边缘化	
不可信	
不要怕	
不必要	
被窝里	
不赞同	
百分比	百bai
不是很	
不同于	
不容易	
不好说	说shuo
不放心	
不代表	
不合适	合he|适shi
本来就	
毕业后	
不加入	
并不多	
不可用	
不清楚	
不再是	
不在线	
不可知	
不考虑	
八月份	
不解释	解jie
不规则	
不同的	的de
比不上	
不能说	说shuo
不理解	解jie
不统一	
不超过	
不准确	
变成了	了le
本来是	
不稳定	
不是吗	
冰淇淋	
不存在	
不认识	识shi
不管了	了le
不适用	适shi
不小心	
不行吗	行xing
不正确	
播放器	
不对称	称chen
不好看	
不公正	
别人家	家jia
帮不了	了liao
不够格	
不屑于	
不确定	
不记得	得de
不排除	
不参与	参can
不多了	了le
不停地	地de
不好了	了le
背地里	地di
标准的	的de
不兼容	
本论坛	
不对的	的de
帮倒忙	
本版本	
半小时	
不着急	着zhao
保存后	
不设置	
不太好	
不担心	
不服气	
不完善	
不尽然	
不愿意	
不去了	了le
不接受	
不早了	了le
不久前	
棒棒糖	
被录取	
不匹配	
不用说	说shuo
不要说	说shuo
不愉快	
不建议	
不完美	
编辑器	
不可说	说shuo
不要急	
不过关	
备忘录	
不明显	
不要紧	
不显示	
不区分	区qu
不记忆	
不会的	会hui|的de
不文明	
表现在	
包装盒	
表演者	
不好玩	
不重要	重zhong
不能用	
不过分	
不发生	
表面上	
不看好	
别人的	的de
不执行	行xing
不后悔	
不够用	
不想去	
比我大	大da
不是的	的de
不敢说	说shuo
办公室	
不包括	括kuo
不熟悉	熟shu
不算数	数shu
不敢当	
比以前	
不干涉	
不客气	
不低于	
比较难	
比不过	
不吭声	吭keng
不安全	
不恰当	
不觉得	觉jue|得de
不行的	行xing|的de
不科学	
不值得	得de
不想睡	
比较好	
不称职	称chen
并没有	没mei
不怕冷	
帮帮忙	
笨办法	
不作声	
不准备	
不要钱	
不好的	的de
不小于	
不大于	大da
不等于	
必要的	的de
本地人	地di
八股文	
不增加	
不出去	
不好听	
不见得	见jian|得de
辩证法	
不注意	
不辜负	
不介意	
不忍心	
不怕死	
不完全	
不懂得	得de
不领情	
不回家	家jia
不作为	
不协调	调tiao
不信任	
不利于	
不和谐	和he
不愧是	
不顺利	
测试版	
错别字	
才发现	
参加了	参can|了le
猜得到	得de
才知道	
存在于	
超过了	了le
才看到	
出现在	
出不来	
测试过	
才可以	
出问题	
查不出	查cha
词库中	
成功了	了le
错误的	的de
侧重于	侧ce|重zhong
侧重点	侧ce|重zhong
差不多	差cha
楚留香	
初始化	
处理后	
吃饭了	了le
创始人	
充值卡	卡ka
出去玩	
初学者	
处理的	的de
查字典	查cha
长时间	长chang
产生的	的de
出现时	
查不到	查cha
常用字	
出去吃	
出来了	了le
出现了	了le
常用词	
采取了	了le
此建议	
出发点	
存在的	的de
丑八怪	
充电器	
刺激性	
充满了	了le
陈冠希	
成功率	率lv
有一个	
创纪录	
吃零食	食shi
出难题	
擦边球	
成正比	
唱反调	调diao
差异性	差cha
出风头	
出现的	的de
创造了	了le
参与者	参can
程序化	
参考性	参can
多音字	
大多数	大da|数shu
第一位	
多得很	得de
大杂烩	大da
大问题	大da
第二版	
多数人	数shu
短消息	
大部分	大da
都没有	都dou|没mei
短期内	期qi
打电话	
都可以	都dou
打不出	
得到了	得de|了le
大客户	大da
第二个	
对不对	
第二位	
打开了	了le
第一个	
都一样	都dou
导致了	了le
但是在	
大礼包	大da
都喜欢	都dou
地址栏	地di
大众化	大da
第三个	
大老板	大da
多少钱	
打板子	
典型的	的de
大不了	大da|了liao
多少个	
第二天	
打错了	了le
顶一下	
低频词	
大批量	大da
第一次	
到时候	
多不多	
打不开	
对我们	
大家的	大da|家jia|的de
大词库	大da
第五位	
单人旁	单dan
短信息	
第二次	
等不及	
等一会	会hui
大家好	大da|家jia
得不到	得de
达不到	
第三位	
倒计时	
第一行	行hang
带来的	的de
带回来	
大学生	大da
大小写	大da
打不通	
对不起	
对账单	单dan
是一个	
打嘴仗	
倒不是	
打开的	的de
代表性	
多线程	
大一些	大da
当然是	
多一些	
丢人啊	
都认为	都dou
打瞌睡	
当时的	的de
打官司	
道琼斯	
动不动	
第一笔	
都知道	都dou
大不大	大da|大da
打字员	员yuan
第二种	种zhong
第一种	种zhong
第二项	
单行线	单dan|行xing
打屁股	
挡住了	了le
电视机	
都不是	都dou
当事人	
跌停板	
端午节	
代理商	
等同于	
点对点	
第四个	
顶上去	
代言人	
第一天	
多的是	的de
独立的	的de
地下室	地di
大屏幕	大da|屏ping
电饭锅	
大规模	大da|模mo
单片机	单dan
等一下	
到期日	期qi
丁香花	丁ding
带来了	了le
读卡器	读du|卡ka
都不错	都dou
胆囊炎	
大市场	大da
电话费	
带回去	
打飞机	
胆小鬼	
大一岁	大da
第一遍	
电视台	
都不在	都dou
打工仔	仔zai
第二部	
第一部	
第一集	
第三人	
大富翁	大da
都不会	都dou|会hui
打游戏	戏xi
大好事	大da
大动作	大da
大范围	大da
都已经	都dou
大背景	大da
电话机	
大城市	大da
电暖器	
都这样	都dou|这zhe
懂不懂	
多少人	
倒过来	
迪士尼	
第一张	
大大的	大da|大da|的de
对着干	着zhe
得罪人	得de
打出来	
对不住	
戴眼镜	
邓小平	
短时间	
第一版	
捣蛋鬼	
都觉得	都dou|觉jue|得de
大本营	大da
顿一下	顿dun
都不敢	都dou
淡红色	红hong|色se
打喷嚏	
第八届	
倒不如	
登记簿	
防火墙	
辅助码	
很正常	
很简单	单dan
还记得	还hai|得de
放弃了	了le
反作用	
很满意	
很美的	的de
好多了	了le
会不会	会hui|会hui
好几个	
分不清	
汉化版	
很实用	
很可能	
好办法	
好像是	
很喜欢	
很方便	便bian
翻页键	
还可以	还hai
很麻烦	
副作用	
回家了	家jia|了le
很流畅	
很不错	
很多人	
放大镜	大da
换一个	
还原点	还huan
黄色的	色se|的de
发广告	广guang
哈哈哈	
很少的	的de
很明显	
发上来	
服务台	
分词库	
合理的	合he|的de
获得了	得de|了le
好一些	
很仔细	仔zi
复制到	
很好用	
发帖子	
还不行	还hai|行xing
反映了	了le
合适的	合he|适shi|的de
发生了	了le
分辨率	率lv
好不好	
还以为	还hai
方便了	便bian|了le
发生在	
很奇怪	奇qi
很重要	重zhong
好多人	
还是在	还hai
还不如	还hai
分界线	
很辛苦	
后遗症	遗yi
或者说	说shuo
还不错	还hai
恢复到	
很不好	
发现了	了le
很容易	
厚脸皮	
很好的	的de
好建议	
粉红色	红hong|色se
发短信	
黑名单	单dan
很厉害	
发出来	
会出现	会hui
好意思	思si
好朋友	
服务器	
放心吧	
放出来	
反垄断	
湖北人	
还需要	还hai
回来了	了le
还没有	还hai|没mei
还存在	还hai
合理性	合he
非常好	
反义词	
婚姻法	
犯错误	
分隔符	
喊一声	
好说话	说shuo
好东西	
分别为	
很高兴	
服务员	员yuan
还准备	还hai
候选框	
寒暑假	
好主意	
换成了	了le
发明者	
好厉害	
换句话	句ju
很漂亮	
好奇怪	奇qi
很常见	见jian
发生过	
湖北省	省sheng
放心了	了le
换回来	
负责任	
环境中	
疯狂的	的de
发大财	大da
黑龙江	
很好看	
后来的	的de
还不是	还hai
很多次	
方向键	
很大的	大da|的de
反应慢	
很流行	行xing
很讨厌	
好舒服	
湖南人	南nan
哈尔滨	
好男人	
风凉话	
回收站	
活雷锋	
很复杂	
好久了	了le
方便性	便bian
好好的	的de
火车站	车che
非常高	
很舒服	
反编译	
复杂化	
发布了	了le
很严重	重zhong
放进去	
很多的	的de
合得来	合he|得de
很清楚	
疯人院	
好得很	得de
非正常	
服务商	
发信息	
还是有	还hai
方向感	
糊涂的	的de
坏消息	坏huai
翻出来	
好日子	
非主流	
花和尚	和he
回到了	了le
分公司	
付款人	
话务员	员yuan
高才生	
更新了	了le
工具栏	
公认的	的de
公测版	
