# 8万精准超小词库
# 原始出处未知，原词中多音字注音移除，补充完整拼音，第一个词“是的这个”改成“是的”
# https://github.com/studyzy/imewlconverter/blob/master/参考/8万精准超小词库.txt
#
# 词语	拼音	多音字备注

百分数	bai fen shu	百bai|数shu
宝石蓝	bao shi lan	石shi
小买卖	xiao mai mai	
小妇人	xiao fu ren	
性丑闻	xing chou wen	
单相思	dan xiang si	单dan|思si
哈巴狗	ha ba gou	
满肚子	man du zi	
奴隶制	nu dai zhi	
济源市	ji yuan shi	
灵宝市	ling bao shi	
闽南话	min nan hua	南nan
鼻烟壶	bi yan hu	烟yan
护林员	hu lin yuan	员yuan
碳酸钠	tan suan na	
小苏打	xiao su da	
不打紧	bu da jin	
履带式	lv dai shi	
五花肉	wu hua rou	
印染厂	yin ran chang	厂chang
一元化	yi yuan hua	
被枪杀	bei qiang sha	
登机牌	deng ji pai	
代谢物	dai xie wu	
回马枪	hui ma qiang	
红皮书	hong pi shu	红hong
较新的	jiao xin de	的de
三结合	san jie he	合he
周口市	zhou kou shi	
市政厅	shi zheng ting	
火枪手	huo qiang shou	
深圳湾	shen zhen wan	
皇太后	huang tai hou	
苦行僧	gu xing seng	行xing
独行侠	du xing xia	行xing
外用药	wai yong yao	
跑不动	pao bu dong	
女职员	nv zhi yuan	员yuan
易挥发	yi hui fa	
翻了翻	fan le fan	了le
舍小家	she xiao jia	家jia
耗油量	hao you liang	
上半天	shang ban tian	
小媳妇	xiao xi fu	
倒春寒	dao chun han	
迷彩服	mi cai fu	
豆腐皮	dou fu pi	
急救包	ji jiu bao	
吴三桂	wu san gui	
风湿痛	feng shi tong	
悬浮物	xuan fu wu	
精密度	jing mi du	度du
窃以为	qie yi wei	
头盖骨	tou gai gu	盖gai
值班员	zhi ban yuan	员yuan
罚点球	fa dian qiu	
脸皮厚	lian pi hou	
兴奋性	xing fen xing	
半遮面	ban zhe mian	
垄断性	long duan xing	
农工党	nong gong dang	
正相反	zheng xiang fan	
豆芽菜	dou ya cai	
武士道	wu shi dao	
吃豆腐	chi dou fu	
跳过去	tao guo qu	
新开业	xin kai ye	
三岔口	san cha kou	
输尿管	shu niao guan	尿niao
调制器	tiao zhi qi	调tiao
急性子	ji xing zi	
燃烧弹	ran shao dan	弹dan
神经科	shen jing ke	
乳山市	ru shan shi	
微电机	wei dian ji	
迎客松	ying ke song	
八音盒	ba yin he	
问候语	wen hou yu	
看一眼	kan yi yan	
上下午	shang xia wu	
定州市	ding zhou shi	
上弦月	shang xian yue	
新闻处	xin wen chu	
离心力	li xin li	
他同意	ta tong yi	
预览版	yu lan ban	
大三元	da san yuan	大da
核物理	he wu li	核he
热水袋	re shui dai	
复写纸	fu xie zhi	
讲文明	jiang wen ming	
控制住	kong zhi zhu	
树底下	shu di xia	底di
十三点	shi san dian	
很好呀	hen hao ya	
九头鸟	jiu tou niao	鸟niao
麻醉剂	ma zui ji	
时装店	shi zhuang dian	
多方便	duo fang bian	便bian
过街楼	guo jie lou	
真倒霉	zhen dao mei	
吹口哨	chui kou shao	
结论性	jie lun xing	
苹果汁	peng guo zhi	
致命性	zhi ming xing	
被打乱	bei da luan	
芭蕾舞	ba lei wu	
牵牛花	qian niu hua	
吞下去	tun xia qu	
出租屋	chu zu wu	
肩并肩	jian bing jian	
美术课	mei shu ke	术shu
娃娃鱼	wa wa yu	
董必武	dong bi wu	
非个人	fei ge ren	
金属线	jin shu xian	属shu
见习期	jian xi qi	见jian|期qi
芝麻油	zhi ma you	
壁上观	bi shang guan	
被隐藏	bei yin cang	藏cang
军兵种	jun bing zhong	种zhong
紧张感	jin zhang gan	
前锋线	qian feng xian	
维纳斯	wei na si	
不能读	bu nai du	读du
长乐市	chang le shi	长chang|乐le
打得好	da de hao	得de
打游击	da you ji	
保温杯	bao wen bei	
印花布	yin hua bu	
舆论界	yu lun jie	
范仲淹	fan zhong yan	
短纤维	duan xian wei	纤xian
十六个	shi liu ge	六liu
吃晚餐	chi wan can	
懂一点	dong yi dian	
耗水量	hao shui liang	
文具店	wen ju dian	
洋葱头	yang cong tou	
大家乐	da jia le	大da|家jia|乐le
贵宾室	gui bin shi	
百草园	bai cao yuan	百bai
打哈欠	da ha qian	
面神经	mian shen jing	
轻喜剧	qing xi ju	
够不着	gou bu zhao	着zhao
不实际	bu shi ji	
攻击机	gong ji ji	
老丈人	lao zhang ren	
柳宗元	liu zong yuan	
难民营	nan min ying	
鱼尾纹	yu wei wen	尾wei
哥儿们	ge er men	
母细胞	mu xi bao	
八达岭	ba da ling	
真空管	zhen kong guan	
水轮机	shui lun ji	
高压锅	gao ya guo	
工具钢	gong ju gang	
佝偻病	gou lou bing	偻lou
看个够	kan ge gou	
风油精	feng you jing	
龙王庙	long wang miao	
流星雨	liu xing yu	
聂荣臻	nie rong zhen	
差得远	cha de yuan	差cha|得de
合唱队	he chang dui	合he
啤酒肚	pi jiu du	
真开心	zhen kai xin	
会员证	hui yuan zheng	会hui|员yuan
决胜负	jue sheng fu	
生长素	sheng zhang su	长zhang
别这样	bie zhe yang	这zhe
拐弯处	guai wan chu	
展览厅	zhan lan ting	
今儿个	jin er ge	
阔叶林	kuo ye lin	叶ye
犹太教	you tai jiao	
电磁线	dian ci xian	
多元性	duo yuan xing	
硫酸镁	liu suan mei	
李小鹏	li xiao peng	
琼海市	qiong hai shi	
镇静剂	zhen jing ji	
翰林院	han lin yuan	
华容道	hua rong dao	
少数派	shao shu pai	数shu|派pai
客家话	ke jia hua	家jia
练习册	lian xi ce	
无房户	wu fang hu	无wu|房fang
压下去	ya xia qu	
洗脸盆	xi lian pen	洗xi
工作队	gong zuo dui	
前一刻	qian yi ke	
不会玩	bu hui wan	会hui
出纳员	chu na yuan	员yuan
冷兵器	leng bing qi	
溜冰鞋	liu bing xie	
卖国贼	mai guo zei	
枪杆子	qiang gan zi	
三元里	san yuan li	
直挺挺	zhi ting ting	
九十万	jiu shi wan	万wan
湿淋淋	shi lin lin	
政务院	zheng wu yuan	
反驳道	fan bo dao	
国有化	guo you hua	
红珊瑚	hong shan hu	红hong
女英雄	nv ying xiong	
养猪场	yang zhu chang	
珠江口	zhu jiang kou	
两秒钟	liang miao zhong	
副乡长	fu xiang zhang	长zhang
倒霉蛋	dao mei dan	
黄药师	huang yao shi	
阶下囚	jie xia qiu	
文化圈	wen hua quan	圈quan
映山红	ying shan hong	红hong
孔乙己	kong yi ji	
里程表	li cheng biao	
孺子牛	ru zi niu	
温岭市	wen ling shi	
外祖父	wai zu fu	
改革者	gai ge zhe	革ge
声明书	sheng ming shu	
礼拜天	li bai tian	
团代会	tuan dai hui	会hui
和平奖	he ping jiang	和he
批发店	pi fa dian	
识别码	shi bie ma	识shi
向心力	xiang xin li	
荧光灯	ying guang deng	
丙氨酸	bing an suan	
创业史	chuang ye shi	
荷包蛋	he bao dan	
毕业班	bi ye ban	
八宝粥	ba bao zhou	粥zhou
备用金	bei yong jin	
弄不懂	nong bu dong	弄nong
大喜事	da xi shi	大da
海棠花	hai tang hua	
太阳灶	tai yang zao	
处分权	chu fen quan	
可燃性	ke ran xing	
廉江市	lian jiang shi	
小萝卜	xiao luo bo	卜bo
响尾蛇	xiang wei she	尾wei|蛇she
二不休	er bu xiu	
国际版	guo ji ban	
金戒指	jin jie zhi	
但其实	dan qi shi	其qi
席梦思	xi meng si	思si
变奏曲	bian zou qu	
归来吧	gui lai ba	
干着急	gan zhao ji	着zhao
输精管	shu jing guan	
喝口水	he kou shui	
被惊醒	bei jing xing	
汉高祖	han gao zu	
闪电战	shan dian zhan	
白垩纪	bai e ji	
谈笑间	tan xiao jian	
酵母菌	jiao mu jun	
不介入	bu jie ru	
异教徒	yi jiao tu	
哈哈镜	ha ha jing	
捡破烂	jian po lan	
脚丫子	jiao ya zi	脚jiao
臭男人	chou nan ren	臭chou
黄脸婆	huang lian po	
冷水江	leng shui jiang	
哮喘病	xiao chuan bing	
春小麦	chun xiao mai	
无产者	wu chan zhe	无wu
单晶硅	dan jing gui	单dan
举报信	ju bao shen	
失乐园	shi le yuan	乐le
画外音	hua wai yin	
既来之	ji lai zhi	
热辣辣	re la la	
超高温	chao gao wen	
动员令	dong yuan ling	员yuan
红宝书	hong bao shu	红hong
辛苦钱	xin gu qian	
案发时	an fa shi	
传家宝	chuan jia bao	传chuan|家jia
黑洞洞	hei dong dong	
拉萨市	la sa shi	
兰溪市	lan xi shi	
透透气	tou tou qi	
欢笑声	huan xiao sheng	
铁将军	tie jiang jun	
液压泵	ye ya beng	
遭遇战	zao yu zhan	
姜太公	jiang tai gong	
电子战	dian zi zhan	
兜着走	dou zhe zou	着zhe
浏阳河	liu yang he	
邓颖超	deng ying chao	
交白卷	jiao bai juan	
武安市	wu an shi	
杏花村	xing hua cun	
益母草	yi mu cao	
阆中市	lang zhong shi	
我懒得	wo lan de	得de
尝一尝	chang yi chang	
十月份	shi yue bin	
性本善	xing ben shan	
阶级性	jie ji xing	
三叶虫	san ye chong	叶ye
被动式	bei dong shi	
微血管	wei xue guan	血xue
外乡人	wai xiang ren	
碧绿色	bi lv se	绿lv|色se
肠梗阻	chang geng zu	
冬小麦	dong xiao mai	
假动作	jia dong zuo	
捐献者	juan xian zhe	
剖面图	pou mian tu	
说梦话	shuo meng hua	说shuo
三角裤	san jiao ku	角jiao
乍一看	zha yi kan	
坏女孩	huai nv hai	坏huai
涮羊肉	shuan xiang rou	
冬令营	dong ling ying	
头皮屑	tou pi xie	
五一节	wu yi jie	
下定义	xia ding yi	
拦不住	lan bu zhu	
野丫头	ye ya tou	
淡水湖	dan shui hu	
记者证	ji zhe zheng	
乌龙球	wu long qiu	
不麻烦	bu ma fan	
害死人	hai si ren	
茶叶蛋	cha ye dan	叶ye
慢动作	man dong zuo	
绵竹市	mian zhu shi	
三八线	san ba xian	
创世纪	chuang shi ji	
开普敦	kai pu dun	敦dun
男高音	nan gao yin	
水帘洞	shui lian dong	
威胁性	wei xie xing	
操作者	cao zuo zhe	
记笔记	ji bi ji	
继续睡	ji xu shui	
郁达夫	yu da fu	
传声筒	chuan sheng tong	传chuan
客套话	ke tao hua	
书法展	shu fa zhan	
洒水车	sa shui che	车che
法兰克	fa lan ke	
硅钢片	gui gang pian	
刺五加	ci wu jia	
电子系	dian zi xi	系xi
书卷气	shu juan qi	
狮子头	shi zi tou	
那时快	na shi kuai	那na
高射炮	gao she pao	炮pao
居住权	ju zhu quan	
髋关节	kuan guan jie	
琉璃厂	liu li chang	厂chang
韩非子	han fei zi	
煤气罐	mei qi guan	
演讲者	yan jiang zhe	
正气歌	zheng qi ge	
实打实	shi da shi	
眼睫毛	yan jie ma	
舒伯特	shu bo te	伯bo
拉丁语	la ding yu	丁ding
卵细胞	luan xi bao	
一不做	yi bu zuo	
眼角膜	yan jiao mo	角jiao
无机物	wu ji wu	无wu
工笔画	gong bi hua	
接待室	jie dai shi	
九月份	jiu yue bin	
杜鲁门	du lu men	
小人书	xiao ren shu	
蛛网膜	zhu wang mo	
插进去	cha jin qu	
基辛格	ji xin ge	
母老虎	mu lao hu	
耶和华	ye he hua	和he
詹姆士	zhan m shi	
长镜头	chang jing tou	长chang
电热毯	dian re tan	
挡土墙	dang tu qiang	
女作家	nv zuo jia	家jia
红艳艳	hong yan yan	红hong
戈壁滩	ge bi tan	
歼灭战	jian mie zhan	
隋炀帝	duo yang di	
东港市	dong gang shi	
铅中毒	qian zhong dai	铅qian
相同点	xiang tong dian	
左撇子	zuo pie zi	
找东西	zhao dong xi	
主干线	zhu gan xian	
招贴画	zhao tie hua	
不成器	bu cheng qi	
变戏法	bian xi fa	戏xi
冷水滩	leng shui tan	
前奏曲	qian zou qu	
应届生	ying jie sheng	
胰腺癌	yi xian ai	
重感冒	zhong gan mao	重zhong|冒mao
淀粉酶	dian fen mei	
滴溜溜	di liu liu	
钥匙圈	yao shi quan	钥yao|匙shi|圈quan
干坏事	gan huai shi	坏huai
广汉市	guang han shi	广guang
花生壳	hua sheng ke	壳ke
见一面	jian yi mian	见jian
掠夺性	lve duo xing	
主办权	zhu ban quan	
冰雪节	bing xue jie	
电梯间	dian ti jian	
大昭寺	da zhao si	大da
火烧云	huo shao yun	
生还者	sheng huan zhe	还huan
伸缩缝	shen suo feng	缩suo
打圆场	da yuan chang	
小百货	xiao bai huo	百bai
剪刀差	jian dao cha	差cha
眼镜架	yan jing jia	
大后方	da hou fang	大da
这么办	zhe me ban	这zhe|么me
割草机	ge cao ji	
绿帽子	lv mao zi	绿lv
考试题	kao shi ti	
穿山甲	chuan shan jia	
摩托艇	mo tuo ting	摩mo
天狼星	tian lang xing	
血泪史	xue lei shi	血xue
不足取	bu zu qu	
采蘑菇	cai mo gu	
调度员	diao du yuan	调diao|度du|员yuan
内华达	na hua da	
土地法	tu di fa	地di
无规则	wu gui ze	无wu
文中说	wen zhong shuo	说shuo
细菌战	xi jun zhan	
发横财	fa heng cai	
大头菜	da tou cai	大da
一等兵	yi deng bing	
同心圆	tong xin yuan	
回锅肉	hui guo rou	
后一段	hou yi duan	
济州岛	ji zhou dao	
肉包子	rou bao zi	
军火商	jun huo shang	
晶状体	jing zhuang ben	
随机数	sui ji shu	数shu
氧化钙	yang hua gai	
参政党	can zheng dang	参can
超低温	chao di wen	
长方体	chang fang ben	长chang
电力部	dian li bu	
一多半	yi duo ban	
闭门羹	bi men geng	
读书声	du shu sheng	读du
警匪片	jing fei pian	
椰子树	ye zi shu	
曼陀罗	man tuo luo	
毛笔字	ma bi zi	
七十万	qi shi wan	万wan
肾小球	shen xiao qiu	
故事书	gu shi shu	
绝经期	jue jing qi	期qi
名片盒	ming pian he	
棉织品	mian zhi pin	
体操队	ben cao dui	
鸿门宴	hong men yan	
小鸭子	xiao ya zi	
旅行袋	lv xing dai	行xing
少年班	shao nian ban	
高密市	gao mi shi	
居留权	ju liu quan	
首饰店	shou shi dian	
诉衷情	su zhong qing	
烟雾弹	yan wu dan	烟yan|弹dan
炸酱面	zha jiang mian	
发泡剂	fa pao ji	
马蜂窝	ma feng wo	
人不知	ren bu zhi	
跳楼价	tao lou jia	价jia
外事处	wai shi chu	
小肚子	xiao du zi	
装箱单	zhuang xiang dan	单dan
中国通	zhong guo tong	
化验员	hua yan yuan	员yuan
辣椒油	la jiao you	
打卡机	da ka ji	卡ka
满月酒	man yue jiu	
脐带血	qi dai xue	血xue
圣约翰	sheng yue han	约yue
样板戏	yang ban xi	戏xi
核辐射	he fu she	核he
落地式	luo di shi	落luo|地di
票据法	piao ju fa	
铸铁管	zhu tie guan	
一缕缕	yi lv lv	
高脚杯	gao jiao bei	脚jiao
预算案	yu suan an	
冰醋酸	bing cu suan	
白种人	bai zhong ren	种zhong
价值量	jia zhi liang	价jia
花生酱	hua sheng jiang	
小胖子	xiao pang zi	胖pang
答辩会	da bian hui	会hui
麦饭石	mai fan shi	石shi
挺厉害	ting li hai	
逐客令	zhu ke ling	
工字钢	gong zi gang	
灵长类	ling zhang lei	长zhang
法门寺	fa men si	
锦衣卫	jin yi wei	
工程兵	gong cheng bing	
汉学家	han xue jia	家jia
玻璃板	bo li ban	
玻璃球	bo li qiu	
小天使	xiao tian shi	
荧光屏	ying guang ping	屏ping
餐饮部	can yin bu	
过敏症	guo min zheng	
内罗毕	na luo bi	
护卫队	hu wei dui	
红眼病	hong yan bing	红hong
蒸发量	zheng fa liang	
不好惹	bu hao re	
电解质	dian jie zhi	解jie
吃一堑	chi yi jian	
核战争	he zhan zheng	核he
模糊性	mo hu xing	模mo
水中花	shui zhong hua	
土豆丝	tu dou si	
消音器	xiao yin qi	
八点钟	ba dian zhong	
百灵鸟	bai ling niao	百bai|鸟niao
塔尔寺	ta er si	塔ta
苹果酸	peng guo suan	
万金油	wan jin you	万wan
吊脚楼	diao jiao lou	脚jiao
工资单	gong zi dan	单dan
没准儿	mei zhun er	没mei
咸鸭蛋	xian ya dan	
制空权	zhi kong quan	
和事老	he shi lao	和he
落地灯	luo di deng	落luo|地di
呼救声	hu jiu sheng	
洪秀全	hong xiu quan	
蒲松龄	pu song ling	
顾得上	gu de shang	得de
古兰经	gu lan jing	
接触点	jie chu dian	
行李箱	xing li xiang	行xing
古印度	gu yin du	度du
核大国	he da guo	核he|大da
落水狗	luo shui gou	落luo
木兰花	mu lan hua	
眯着眼	mi zhe yan	着zhe
天门冬	tian men dong	
则安之	ze an zhi	
担保物	dan bao wu	
广播操	guang bo cao	广guang
夹竹桃	jia zhu tao	夹jia
冷加工	leng jia gong	
嗡嗡声	weng weng sheng	
钟乳石	zhong ru shi	石shi
预言家	yu yan jia	家jia
计经委	ji jing wei	
火箭筒	huo jian tong	
林荫道	lin yin dao	
投机商	tou ji shang	
有害物	you hai wu	
分析员	fen xi yuan	员yuan
国子监	guo zi jian	
低不就	di bu jiu	
负效应	fu xiao ying	
申报者	shen bao zhe	
不停顿	bu ting dun	顿dun
房管所	fang guan suo	房fang
普天下	pu tian xia	
巡逻艇	xun luo ting	
新鲜事	xin xian shi	
又不会	you bu hui	会hui
竹叶青	zhu ye qing	叶ye
铺地板	pu di ban	地di
集训队	ji xun dui	
黄牛党	huang niu dang	
水力学	shui li xue	
齿轮箱	chi lun xiang	
武则天	wu ze tian	
忽必烈	hu bi lie	
海洋性	hai yang xing	
射出来	she chu lai	
渗透压	shen tou ya	
数一数	shu yi shu	数shu|数shu
香槟酒	xiang bin jiu	槟bin
吸收剂	xi shou ji	
杨家将	yang jia jiang	家jia
白话文	bai hua wen	
费心思	fei xin si	思si
活死人	huo si ren	
神秘园	shen mi yuan	秘mi
审判员	shen pan yuan	员yuan
弹簧钢	tan huang gang	弹tan
掠夺者	lve duo zhe	
比比看	bi bi kan	
冷却液	leng que ye	
麻黄素	ma huang su	
点钞机	dian chao ji	
化学式	hua xue shi	
三板斧	san ban fu	
手指甲	shou zhi jia	
宽银幕	kuan yin mu	
酪氨酸	lao an suan	
木棉花	mu mian hua	
万向节	wan xiang jie	万wan
小口径	xiao kou jing	
落叶松	luo ye song	落luo|叶ye
松节油	song jie you	
听下去	ting xia qu	
出勤率	chu qin lv	率lv
茶花女	cha hua nv	
滑翔机	hua xiang ji	
脑死亡	nao si wang	亡wang
日全食	ri quan shi	食shi
不合乎	bu he hu	合he
超新星	chao xin xing	
蝴蝶泉	hu die quan	
老年斑	lao nian ban	
受压迫	shou ya po	迫po
野茫茫	ye mang mang	
两点钟	liang dian zhong	
祥林嫂	xiang lin sao	
敌敌畏	di di wei	
麻风病	ma feng bing	
邱淑贞	qiu shu zhen	
暑期班	shu qi ban	期qi
创始者	chuang shi zhe	
费改税	fei gai shui	
火把节	huo ba jie	
双重性	shuang chong xing	重chong
榻榻米	ta ta mi	
大房间	da fang jian	大da|房fang
凌海市	ling hai shi	
前半生	qian ban sheng	
水葫芦	shui hu lu	
抒情诗	shu qing shi	
石头城	shi tou cheng	石shi
无穷尽	wu qiong jin	无wu
小胡子	xiao hu zi	
吸水率	xi shui lv	率lv
走不通	zou bu tong	
不结盟	bu jie meng	
成长期	cheng zhang qi	长zhang|期qi
急救站	ji jiu zhan	
矿物油	kuang wu you	
强迫性	qiang po xing	强qiang|迫po
像样的	xiang yang de	的de
不认账	bu ren zhang	
吃不得	chi bu de	得de
窗户纸	chuang hu zhi	
等级制	deng ji zhi	
绝对值	jue dui zhi	
栖霞市	qi xia shi	栖qi
史学界	shi xue jie	
小英雄	xiao ying xiong	
比目鱼	bi mu yu	
颈动脉	jing dong mai	颈jing|脉mai
我是人	wo shi ren	
中高层	zhong gao ceng	
够不上	gou bu shang	
酷毙了	ku bi le	了le
小舅子	xiao jiu zi	
过电压	guo dian ya	
寒山寺	han shan si	
正合适	zheng he shi	合he|适shi
福鼎市	fu ding shi	
关联性	guan lian xing	
十字街	shi zi jie	
桐城派	tong cheng pai	派pai
赞美诗	zan mei shi	
大辩论	da bian lun	大da
徐熙媛	xu xi yuan	
连阴雨	lian yin yu	
任弼时	ren bi shi	
玄武岩	xuan wu yan	
聚合酶	ju he mei	合he
面包师	mian bao shi	
松花蛋	song hua dan	
杀人者	sha ren zhe	
调谐器	tiao xie qi	调tiao
贤内助	xian na chu	
抽水机	chou shui ji	
冷色调	leng se diao	色se|调diao
细胞壁	xi bao bi	
石英表	shi ying biao	石shi
炸薯条	zha shu tiao	
擦皮鞋	ca pi xie	
垂下来	chui xia lai	
地板砖	di ban zhuan	地di
低腰裤	di yao ku	
水泥地	shui ni di	地di
小麻烦	xiao ma fan	
最恶劣	zui e lie	恶e
北极圈	bei ji quan	圈quan
九台市	jiu tai shi	
人上人	ren shang ren	
松紧带	song jin dai	
通讯簿	tong xun bo	
官老爷	guan lao ye	
搞上去	gao shang qu	
老婆子	lao po zi	
自杀者	zi sha zhe	
吃午餐	chi wu can	
叹息声	tan xi sheng	
更高兴	geng gao xing	
洋垃圾	yang la ji	
被召回	bei zhao hui	召zhao
看走眼	kan zou yan	
两件套	liang jian tao	
南雄市	nan xiong shi	南nan
三位数	san wei shu	数shu
柠檬茶	ning meng cha	
烧起来	shao qi lai	
程咬金	cheng yao jin	
过饱和	guo bao he	和he
文昌市	wen chang shi	
没来的	mei lai de	没mei|的de
向这里	xiang zhe li	这zhe
燕尾服	yan wei fu	尾wei
地方病	di fang bing	地di
个子高	ge zi gao	
空房间	kong fang jian	房fang
生闷气	sheng men qi	
淮南子	huai nan zi	南nan
思想界	si xiang jie	思si
氧气瓶	yang qi ping	
电解液	dian jie ye	解jie
大时代	da shi dai	大da
乱弹琴	luan tan qin	弹tan
投票箱	tou piao xiang	
炊事员	chui shi yuan	员yuan
池中物	chi zhong wu	
十传百	shi chuan bai	传chuan|百bai
储蓄罐	chu xu guan	
大黄鱼	da huang yu	大da
假面具	jia mian ju	
无辜者	wu gu zhe	无wu
文具盒	wen ju he	
造反派	zao fan pai	派pai
正下方	zheng xia fang	
裁缝店	cai feng dian	
曲别针	qu bie zhen	
手提箱	shou ti xiang	提ti
身子骨	shen zi gu	
吃回扣	chi hui kou	
大黄蜂	da huang feng	大da
多视角	duo shi jiao	角jiao
邓州市	deng zhou shi	
太阳光	tai yang guang	
芝麻酱	zhi ma jiang	
赤霉素	chi mei su	
海参崴	hai shen wai	参shen|崴wai
歇会儿	xie hui er	会hui
反贪污	fan tan wu	
高雄市	gao xiong shi	
六盘山	liu pan shan	六liu
奴隶主	nu dai zhu	
向右转	xiang you zhuan	转zhuan
终于与	zhong yu yu	
重启动	chong qi dong	重chong
肺水肿	fei shui zhong	
叫卖声	jiao mai sheng	
集体性	ji ben xing	
没事人	mei shi ren	没mei
小米粥	xiao mi zhou	粥zhou
戚继光	qi ji guang	
不雅观	bu ya guan	
超短裙	chao duan qun	
都市化	du shi hua	都du
黄日华	huang ri hua	
弧线球	hu xian qiu	
听诊器	ting zhen qi	
新民市	xin min shi	
调度室	diao du shi	调diao|度du
放出去	fang chu qu	
石膏粉	shi gao fen	石shi
直率的	zhi shuai de	率shuai|的de
闭幕词	bi mu ci	
哥白尼	ge bai ni	
橄榄绿	gan lan lv	绿lv
润肤霜	run fu shuang	
丝织品	si zhi pin	
假小子	jia xiao zi	
课间操	ke jian cao	
不检点	bu jian dian	
电子钟	dian zi zhong	
厌食症	ya shi zheng	食shi
观象台	guan xiang tai	
英德市	ying de shi	
不骗你	bu pian ni	
打不着	da bu zhao	着zhao
抢劫犯	cheng jie fan	
白帝城	bai di cheng	
动物界	dong wu jie	
复仇者	fu chou zhe	仇chou
偷车贼	tou che zei	车che
新学科	xin xue ke	
站不稳	zhan bu wen	
祖师爷	zu shi ye	
边界线	bian jie xian	
鬼谷子	gui gu zi	谷gu
寄居蟹	ji ju xie	
鸟兽散	niao shou san	鸟niao
升降梯	sheng jiang ti	降jiang
龙虎斗	long hu dou	
下象棋	xia xiang qi	
不充足	bu chong zu	
打零工	da ling gong	
太空舱	tai kong cang	
发射架	fa she jia	
华清池	hua qing chi	
棉纺厂	mian fang chang	厂chang
手底下	shou di xia	底di
大杂院	da za yuan	大da
简体字	jian ben zi	
证明信	zheng ming shen	
出师表	chu shi biao	
绞肉机	jiao rou ji	
讨人厌	tao ren ya	
釉面砖	you mian zhuan	
诸方面	zhu fang mian	
横断面	heng duan mian	
救济金	jiu ji jin	
肯不肯	ken bu ken	
严密性	yan mi xing	
打台球	da tai qiu	
分不出	fen bu chu	
沁阳市	qin yang shi	
人贩子	ren fan zi	
除虫菊	chu chong ju	
费力气	fei li qi	
公式化	gong shi hua	
篮球架	lan qiu jia	
热辐射	re fu she	
白毛女	bai ma nv	
变阻器	bian zu qi	
打点滴	da dian di	
和平鸽	he ping ge	和he
只打了	zhi da le	了le
最厉害	zui li hai	
旧时代	jiu shi dai	
乳酸钙	ru suan gai	
摇钱树	yao qian shu	
曾祖父	zeng zu fu	曾zeng
并蒂莲	bing di lian	
不花钱	bu hua qian	
方解石	fang jie shi	解jie|石shi
警觉性	jing jue xing	觉jue
李宗仁	li zong ren	
酥油茶	su you cha	
背单词	bei dan ci	单dan
神农氏	shen nong shi	氏shi
田径队	tian jing dui	
肖像画	xiao xiang hua	
一传十	yi chuan shi	传chuan
兖州市	yan zhou shi	
室内乐	shi na yue	乐yue
邀请信	yao qing shen	
重阳节	chong yang jie	重chong
接地线	jie di xian	地di
煤油灯	mei you deng	
操纵杆	cao zong gan	
打胜仗	da sheng zhang	
组织胺	zu zhi an	
救生员	jiu sheng yuan	员yuan
排除法	pai chu fa	
齐步走	qi bu zou	齐qi
信不过	shen bu guo	
补血药	bu xue yao	血xue
吃错药	chi cuo yao	
鸡毛信	ji ma shen	
毛阿敏	ma a min	阿a
锡山市	xi shan shi	
腹膜炎	fu mo yan	
惠灵顿	hui ling dun	顿dun
强心针	qiang xin zhen	强qiang
双人房	shuang ren fang	房fang
橡皮艇	xiang pi ting	
眼镜片	yan jing pian	
单簧管	dan huang guan	单dan
公证员	gong zheng yuan	员yuan
坏东西	huai dong xi	坏huai
审计部	shen ji bu	
外阴部	wai yin bu	
大半生	da ban sheng	大da
倒车镜	dao che jing	车che
多声道	duo sheng dao	
甘氨酸	gan an suan	
刚吃完	gang chi wan	
冷却管	leng que guan	
数不尽	shu bu jin	数shu
说空话	shuo kong hua	说shuo
万宁市	wan ning shi	万wan
装配线	zhuang pei xian	
安息吧	an xi ba	
化妆间	hua zhuang jian	
金箍棒	jin gu bang	
惊叫声	jing jiao sheng	
冷藏室	leng cang shi	藏cang
金不换	jin bu huan	
快节奏	kuai jie zou	
七八成	qi ba cheng	
手挽手	shou wan shou	
家长制	jia zhang zhi	家jia|长zhang
忏悔录	chan hui lu	
低效率	di xiao lv	率lv
核黄素	he huang su	核he
罗汉果	luo han guo	
说相声	shuo xiang sheng	说shuo
古文字	gu wen zi	
守财奴	shou cai nu	
耐火砖	nai huo zhuan	
试验品	shi yan pin	
代理处	dai li chu	
多项式	duo xiang shi	
腐殖质	fu zhi zhi	殖zhi
红衣服	hong yi fu	红hong
见见面	jian jian mian	见jian|见jian
反射率	fan she lv	率lv
基本点	ji ben dian	
千禧年	qian xi nian	
新游戏	xin you xi	戏xi
大忙人	da mang ren	大da
夹克衫	jia ke shan	夹jia
气鼓鼓	qi gu gu	
七巧板	qi qiao ban	
使不得	shi bu de	得de
受让方	shou rang fang	
闯世界	chuang shi jie	
大司马	da si ma	大da
登徒子	deng tu zi	
改革派	gai ge pai	革ge|派pai
世俗化	shi su hua	
失踪者	shi zong zhe	
纯文学	chun wen xue	
大总统	da zong tong	大da
洪湖市	hong hu shi	
临界点	lin jie dian	
铁路线	tie lu xian	
小浪底	xiao lang di	底di
流血了	liu xue le	血xue|了le
摸不清	mo bu qing	
男学生	nan xue sheng	
人格权	ren ge quan	
缩略语	suo lve yu	缩suo
天晓得	tian xiao de	得de
选择项	xuan ze xiang	择ze
当阳市	dang yang shi	
