你撒时	ni sa shi
凭一张	ping yi zhang
凭伊慰我	ping yi wei wo
凭伊问讯	ping yi wen xun
凭依	ping yi
凭依剥夺下仆掠夺者	ping yi bo duo xia pu lue duo zhe
凭依弹	ping yi dan
凭依华	ping yi hua
凭依继承	ping yi ji cheng
凭依交换绝对输家	ping yi jiao huan jue dui shu jia
凭依气球	ping yi qi qiu
凭依荼吉尼天	ping yi tu ji ni tian
凭依喜怒哀乐附体	ping yi xi nu ai le fu ti
凭依之缚	ping yi zhi fu
凭噫	ping yi
凭莺传语报李六	ping ying chuan yu bao li liu
凭莺为向杨花道	ping ying wei xiang yang hua dao
凭有关系	ping you guan xi
凭有什么事	ping you shen me shi
凭有甚好处	ping you shen hao chu
凭由	ping you
凭云出梵天	ping yun chu fan tian
凭云构高唐	ping yun gou gao tang
凭仗	ping zhang
凭仗丹青重省识	ping zhang dan qing zhong sheng shi
凭仗东流	ping zhang dong liu
凭仗儿郎筑作圩	ping zhang er lang zhu zuo xu
凭仗高楼莫吹笛	ping zhang gao lou mo chui di
凭仗江波寄一辞	ping zhang jiang bo ji yi ci
凭仗鲤鱼将远信	ping zhang li yu jiang yuan xin
凭仗千钟洗别愁	ping zhang qian zhong xi bie chou
凭仗樵人语	ping zhang qiao ren yu
凭仗西方作主人	ping zhang xi fang zuo zhu ren
凭仗西风	ping zhang xi feng
凭仗新诗与写成	ping zhang xin shi yu xie cheng
凭仗折冲如此好	ping zhang zhe chong ru ci hao
凭照	ping zhao
凭着爱	ping zhe ai
凭着大惊大险	ping zhe da jing da xian
凭着经验	ping zhe jing yan
凭着你的	ping zhe ni de
凭着你怎着罢	ping zhe ni zen zhe ba
凭着小的大的活计	ping zhe xiao de da de huo ji
凭着自己的实力	ping zhe zi ji de shi li
凭这两个冤家闹上天去	ping zhe liang ge yuan jia nao shang tian qu
凭征鞍无语	ping zheng an wu yu
凭证	ping zheng
凭证采伐	ping zheng cai fa
凭证查询	ping zheng cha xun
凭证处理	ping zheng chu li
凭证橱	ping zheng chu
凭证打印	ping zheng da yin
凭证打印纸	ping zheng da yin zhi
凭证法	ping zheng fa
凭证柜	ping zheng gui
凭证盒	ping zheng he
凭证接种	ping zheng jie zhong
凭证皮	ping zheng pi
凭证票据	ping zheng piao ju
凭证式国债	ping zheng shi guo zhai
凭证式国债收款凭证	ping zheng shi guo zhai shou kuan ping zheng
凭证式债券	ping zheng shi zhai quan
凭证摘要设置	ping zheng zhai yao she zhi
凭证账簿审计	ping zheng zhang bu shen ji
凭证整理	ping zheng zheng li
凭证证券	ping zheng zheng quan
凭证纸	ping zheng zhi
凭周况先辈于朝贤乞茶	ping zhou kuang xian bei yu chao xian qi cha
凭周况于朝贤乞茶	ping zhou kuang yu chao xian qi cha
凭准	ping zhun
凭兹士马妍	ping zi shi ma yan
凭自己的心意行好行歹	ping zi ji de xin yi xing hao xing dai
凭自己的意旨立人治国	ping zi ji de yi zhi li ren zhi guo
凭自智力而分析	ping zi zhi li er fen xi
凭醉少嗟吁	ping zui shao jie xu
凭坐处于梦与现实之间	ping zuo chu yu meng yu xian shi zhi jian
凭坐的忧郁	ping zuo de you yu
凭坐与神灵的境界	ping zuo yu shen ling de jing jie
凭坐在梦与现实之间	ping zuo zai meng yu xian shi zhi jian
凭坐主役的忧郁	ping zuo zhu yi de you yu
凭坐主役与神灵下仆的境界	ping zuo zhu yi yu shen ling xia pu de jing jie
坪安	ping an
坪安村	ping an cun
坪坳	ping ao
坪坝	ping ba
坪坝村	ping ba cun
坪坝村国网江安县供电公司	ping ba cun guo wang jiang an xian gong dian gong si
坪坝里	ping ba li
坪坝塘	ping ba tang
坪坝乡	ping ba xiang
坪坝小学	ping ba xiao xue
坪坝营	ping ba ying
坪坝营原生态休闲旅游区	ping ba ying yuan sheng tai xiu xian lv you qu
坪坝镇	ping ba zhen
坪坝镇社区	ping ba zhen she qu
坪坝中学	ping ba zhong xue
坪柏咀	ping bai ju
坪坂	ping ban
坪堡村	ping bao cun
坪北	ping bei
坪背	ping bei
坪背村	ping bei cun
坪边	ping bian
坪埠	ping bu
坪布	ping bu
坪仓史步	ping cang shi bu
坪草	ping cao
坪岔	ping cha
坪茶	ping cha
坪茶村	ping cha cun
坪长	ping chang
坪车	ping che
坪城	ping cheng
坪城村	ping cheng cun
坪城乡	ping cheng xiang
坪埕	ping cheng
坪冲	ping chong
坪川	ping chuan
坪床	ping chuang
坪村	ping cun
坪村洞	ping cun dong
坪村收费站	ping cun shou fei zhan
坪村水库	ping cun shui ku
坪村镇	ping cun zhen
坪打	ping da
坪当	ping dang
坪道	ping dao
坪道村	ping dao cun
坪的	ping de
坪等	ping deng
坪地	ping di
坪地场仡佬族侗族乡	ping di chang ge lao zu dong zu xiang
坪地村	ping di cun
坪地第一小学	ping di di yi xiao xue
坪地发方村	ping di fa fang cun
坪地法庭	ping di fa ting
坪地供水公司	ping di gong shui gong si
坪地国土所	ping di guo tu suo
坪地加油站	ping di jia you zhan
坪地街道	ping di jie dao
坪地街道办	ping di jie dao ban
坪地六联	ping di liu lian
坪地刘屋村	ping di liu wu cun
坪地路口	ping di lu kou
坪地牛眠岭	ping di niu mian ling
坪地铺毡	ping di pu zhan
坪地汽车站	ping di qi che zhan
坪地丘易工艺美术深圳有限公司	ping di qiu yi gong yi mei shu shen zhen you xian gong si
坪地人民医院	ping di ren min yi yuan
坪地畲	ping di she
坪地社保局	ping di she bao ju
坪地市场	ping di shi chang
坪地税务所	ping di shui wu suo
坪地天桥	ping di tian qiao
坪地同兴工业区	ping di tong xing gong ye qu
坪地文化宫	ping di wen hua gong
坪地消防中队	ping di xiao fang zhong dui
坪地彝族乡	ping di yi zu xiang
坪地营	ping di ying
坪地镇	ping di zhen
坪地镇暗沟村	ping di zhen an gou cun
坪地镇八界村	ping di zhen ba jie cun
坪地镇便桃村	ping di zhen bian tao cun
坪地镇府	ping di zhen fu
坪地镇高车村	ping di zhen gao che cun
坪地镇桂脚村	ping di zhen gui jiao cun
坪地镇桂袍村	ping di zhen gui pao cun
坪地镇开发村	ping di zhen kai fa cun
坪地镇麦溪村	ping di zhen mai xi cun
坪地镇那纳村	ping di zhen na na cun
坪地镇牛头山村	ping di zhen niu tou shan cun
坪地镇平么村	ping di zhen ping me cun
坪地镇桥龙村	ping di zhen qiao long cun
坪地镇青溪村	ping di zhen qing xi cun
坪地镇石更村	ping di zhen shi geng cun
坪地镇凸屯村	ping di zhen tu tun cun
坪地镇阳寨村	ping di zhen yang zhai cun
坪地镇云洞村	ping di zhen yun dong cun
坪地镇兆寨村	ping di zhen zhao zhai cun
坪地镇政府	ping di zhen zheng fu
坪地政府	ping di zheng fu
坪地中心小学	ping di zhong xin xiao xue
坪地中学	ping di zhong xue
坪地中学东	ping di zhong xue dong
坪地总站	ping di zong zhan
坪底	ping di
坪底村	ping di cun
坪定乡	ping ding xiang
坪頂村	ping ding cun
坪頂里	ping ding li
坪顶	ping ding
坪顶山	ping ding shan
坪东	ping dong
坪东村	ping dong cun
坪东村天桥	ping dong cun tian qiao
坪东村委	ping dong cun wei
坪东工业区	ping dong gong ye qu
坪东广场	ping dong guang chang
坪东街道	ping dong jie dao
坪东街道办	ping dong jie dao ban
坪东居委	ping dong ju wei
坪东路口	ping dong lu kou
坪东小学	ping dong xiao xue
坪东学校	ping dong xue xiao
坪垌	ping dong
坪洞	ping dong
坪洞村	ping dong cun
坪塅	ping duan
坪多	ping duo
坪二	ping er
坪二组	ping er zu
坪坊	ping fang
坪坊村	ping fang cun
坪房	ping fang
坪房子	ping fang zi
坪房子村	ping fang zi cun
坪分	ping fen
坪丰	ping feng
坪丰村	ping feng cun
坪丰市场	ping feng shi chang
坪凤	ping feng
坪峰	ping feng
坪峰村	ping feng cun
坪峰村村民委员会	ping feng cun cun min wei yuan hui
坪枫坞	ping feng wu
坪风	ping feng
坪干	ping gan
坪岗	ping gang
坪岗村	ping gang cun
坪港	ping gang
坪港村	ping gang cun
坪高	ping gao
坪埂	ping geng
坪沟	ping gou
坪沟村	ping gou cun
坪沟乡	ping gou xiang
坪古	ping gu
坪关	ping guan
坪贯	ping guan
坪光	ping guang
坪光村	ping guang cun
坪哈	ping ha
坪海	ping hai
坪河	ping he
坪河乡	ping he xiang
坪后	ping hou
坪湖	ping hu
坪湖村	ping hu cun
坪湖九组	ping hu jiu zu
坪湖六组	ping hu liu zu
坪湖四组	ping hu si zu
坪湖塘	ping hu tang
坪胡	ping hu
坪华	ping hua
坪花村	ping hua cun
坪花园	ping hua yuan
坪槐村	ping huai cun
坪环	ping huan
坪环餐厅	ping huan can ting
坪环工业城	ping huan gong ye cheng
坪环禾场头	ping huan he chang tou
坪环酒楼	ping huan jiu lou
坪环居委	ping huan ju wei
坪环学校	ping huan xue xiao
坪吉	ping ji
坪家	ping jia
坪家村	ping jia cun
坪家湖	ping jia hu
坪家埝	ping jia nian
坪江	ping jiang
坪江村	ping jiang cun
坪郊	ping jiao
坪界	ping jie
坪街	ping jie
坪街村	ping jie cun
坪街道	ping jie dao
坪井	ping jing
坪井元政	ping jing yuan zheng
坪井章子	ping jing zhang zi
坪井智浩	ping jing zhi hao
坪径	ping jing
坪箐	ping jing
坪坎	ping kan
坪坎村	ping kan cun
坪坎镇	ping kan zhen
坪坑	ping keng
坪坑村	ping keng cun
坪空线	ping kong xian
坪口	ping kou
坪矿	ping kuang
坪葵公路	ping kui gong lu
坪拉	ping la
坪来	ping lai
坪兰	ping lan
坪朗	ping lang
坪朗巴士站	ping lang ba shi zhan
坪朗花园	ping lang hua yuan
坪浪	ping lang
坪老	ping lao
坪乐	ping le
坪乐村	ping le cun
坪乐乡	ping le xiang
坪里	ping li
坪里冲	ping li chong
坪里村	ping li cun
坪里仑	ping li lun
坪里中学	ping li zhong xue
坪联	ping lian
坪梁	ping liang
坪梁村	ping liang cun
坪林	ping lin
坪林茶业博物馆	ping lin cha ye bo wu guan
坪林村	ping lin cun
坪林了	ping lin le
坪林里	ping lin li
坪林秋海棠	ping lin qiu hai tang
坪林區	ping lin qu
坪林乡	ping lin xiang
坪岭	ping ling
坪岭村	ping ling cun
坪垅	ping long
坪楼	ping lou
坪路	ping lu
坪路村	ping lu cun
坪罗	ping luo
坪落	ping luo
坪马	ping ma
坪买	ping mai
坪满	ping man
坪梅中学	ping mei zhong xue
坪门	ping men
坪门村	ping men cun
坪面	ping mian
坪木	ping mu
坪南	ping nan
坪南村	ping nan cun
坪南小学	ping nan xiao xue
坪脑	ping nao
坪脑村	ping nao cun
坪内	ping nei
坪内利定	ping nei li ding
坪内勇平	ping nei yong ping
坪能	ping neng
坪盘	ping pan
坪坪	ping ping
坪坡	ping po
坪坡村	ping po cun
坪埔	ping pu
坪埔村	ping pu cun
坪铺	ping pu
坪漆村	ping qi cun
坪前	ping qian
坪堑	ping qian
坪桥	ping qiao
坪桥村	ping qiao cun
坪桥河	ping qiao he
坪桥镇	ping qiao zhen
坪泉	ping quan
坪泉村	ping quan cun
坪如村	ping ru cun
坪沙	ping sha
坪沙村	ping sha cun
坪山	ping shan
坪山办事处	ping shan ban shi chu
坪山北路	ping shan bei lu
坪山比亚迪	ping shan bi ya di
坪山茶业	ping shan cha ye
坪山昌红	ping shan chang hong
坪山村	ping shan cun
坪山村委会	ping shan cun wei hui
坪山大工业区	ping shan da gong ye qu
坪山的	ping shan de
坪山地税	ping shan di shui
坪山帝皇酒店	ping shan di huang jiu dian
坪山电子城	ping shan dian zi cheng
坪山洞	ping shan dong
坪山洞东侧	ping shan dong dong ce
坪山二小	ping shan er xiao
坪山高级中学	ping shan gao ji zhong xue
坪山仡佬族侗族乡	ping shan ge lao zu dong zu xiang
坪山公安分局	ping shan gong an fen ju
坪山公交总站	ping shan gong jiao zong zhan
坪山公园	ping shan gong yuan
坪山工商所	ping shan gong shang suo
坪山广场	ping shan guang chang
坪山广场北	ping shan guang chang bei
坪山广场三和广场	ping shan guang chang san he guang chang
坪山国道	ping shan guo dao
坪山国惠康	ping shan guo hui kang
坪山国土局	ping shan guo tu ju
坪山河	ping shan he
坪山华园	ping shan hua yuan
坪山加油站	ping shan jia you zhan
坪山家园招呼站	ping shan jia yuan zhao hu zhan
坪山建材市场	ping shan jian cai shi chang
坪山建设银行	ping shan jian she yin hang
坪山交通运输局	ping shan jiao tong yun shu ju
坪山街道	ping shan jie dao
坪山街道办	ping shan jie dao ban
坪山经发大厦	ping shan jing fa da sha
坪山经发酒店	ping shan jing fa jiu dian
坪山浪尾村	ping shan lang wei cun
坪山岭	ping shan ling
坪山路	ping shan lu
坪山路口	ping shan lu kou
坪山路南段	ping shan lu nan duan
坪山墓园	ping shan mu yuan
坪山牛角龙	ping shan niu jiao long
坪山欧姆龙	ping shan ou mu long
坪山派出所	ping shan pai chu suo
坪山批发市场	ping shan pi fa shi chang
坪山坡	ping shan po
坪山汽车站	ping shan qi che zhan
坪山桥	ping shan qiao
坪山区	ping shan qu
坪山人民医院	ping shan ren min yi yuan
坪山上	ping shan shang
坪山社区	ping shan she qu
坪山市场	ping shan shi chang
坪山水	ping shan shui
坪山水厂	ping shan shui chang
坪山隧道	ping shan sui dao
坪山塘	ping shan tang
坪山汤坑	ping shan tang keng
坪山体育馆	ping shan ti yu guan
坪山梯田	ping shan ti tian
坪山田头总站	ping shan tian tou zong zhan
坪山同富裕工业区	ping shan tong fu yu gong ye qu
坪山头	ping shan tou
坪山湾	ping shan wan
坪山下	ping shan xia
坪山乡	ping shan xiang
坪山小学	ping shan xiao xue
坪山新和村	ping shan xin he cun
坪山新区	ping shan xin qu
坪山新区管委会	ping shan xin qu guan wei hui
坪山新区广场	ping shan xin qu guang chang
坪山医院	ping shan yi yuan
坪山油站	ping shan you zhan
坪山站	ping shan zhan
坪山镇	ping shan zhen
坪山镇爱卫办消杀站	ping shan zhen ai wei ban xiao sha zhan
坪山镇人民医院	ping shan zhen ren min yi yuan
坪山镇商贸股份有限公司坪山宾馆	ping shan zhen shang mao gu fen you xian gong si ping shan bin guan
坪山中巴站	ping shan zhong ba zhan
坪山中心广场	ping shan zhong xin guang chang
坪山中心广场总站	ping shan zhong xin guang chang zong zhan
坪山中心小学	ping shan zhong xin xiao xue
坪山中学	ping shan zhong xue
坪上	ping shang
坪上村	ping shang cun
坪上二村	ping shang er cun
坪上苗族彝族布依族乡	ping shang miao zu yi zu bu yi zu xiang
坪上桥头	ping shang qiao tou
坪上三村	ping shang san cun
坪上收费站	ping shang shou fei zhan
坪上水库	ping shang shui ku
坪上乡	ping shang xiang
坪上小学	ping shang xiao xue
坪上一村	ping shang yi cun
坪上一中	ping shang yi zhong
坪上镇	ping shang zhen
坪上中学	ping shang zhong xue
坪邵	ping shao
坪畲	ping she
坪畲村	ping she cun
坪輋	ping she
坪輋花园	ping she hua yuan
坪輋元下村	ping she yuan xia cun
坪輋中电站	ping she zhong dian zhan
坪升	ping sheng
坪胜村	ping sheng cun
坪市	ping shi
坪市乡	ping shi xiang
坪石	ping shi
坪石村	ping shi cun
坪石邨	ping shi cun
坪石邨翠石楼	ping shi cun cui shi lou
坪石西	ping shi xi
坪石乡	ping shi xiang
坪石玄	ping shi xuan
坪石镇	ping shi zhen
坪石总站	ping shi zong zhan
坪水	ping shui
坪水村	ping shui cun
坪松	ping song
坪所	ping suo
坪塔	ping ta
坪塔村	ping ta cun
坪塔小学	ping ta xiao xue
坪台	ping tai
坪台丘	ping tai qiu
坪台湾	ping tai wan
坪坦	ping tan
坪坦村	ping tan cun
坪坦乡	ping tan xiang
坪滩	ping tan
坪滩村	ping tan cun
坪滩镇	ping tan zhen
坪塘	ping tang
坪塘坳	ping tang ao
坪塘村	ping tang cun
坪塘集镇	ping tang ji zhen
坪塘监狱	ping tang jian yu
坪塘垄	ping tang long
坪塘湾	ping tang wan
坪塘乡	ping tang xiang
坪塘小学	ping tang xiao xue
坪塘镇	ping tang zhen
坪塘中学	ping tang zhong xue
坪搪村	ping tang cun
坪桃	ping tao
坪天	ping tian
坪天村	ping tian cun
坪田	ping tian
坪田坳	ping tian ao
坪田村	ping tian cun
坪田李	ping tian li
坪田玩硕	ping tian wan shuo
坪田小学	ping tian xiao xue
坪田叶	ping tian ye
坪田银杏之乡	ping tian yin xing zhi xiang
坪田镇	ping tian zhen
坪田直子	ping tian zhi zi
坪亭	ping ting
坪亭日	ping ting ri
坪亭日本	ping ting ri ben
坪亭日本料理	ping ting ri ben liao li
坪头	ping tou
坪头村	ping tou cun
坪头服装皮塑厂	ping tou fu zhuang pi su chang
坪头福兴鞋业有限公司	ping tou fu xing xie ye you xian gong si
坪头岗	ping tou gang
坪头林场	ping tou lin chang
坪头岭	ping tou ling
坪头路	ping tou lu
坪头路口	ping tou lu kou
坪头羌寨	ping tou qiang zhai
坪头丘	ping tou qiu
坪头山	ping tou shan
坪头畲	ping tou she
坪头市	ping tou shi
坪头塘	ping tou tang
坪头乡	ping tou xiang
坪头小学	ping tou xiao xue
坪头镇	ping tou zhen
坪头中学	ping tou zhong xue
坪土	ping tu
坪屯	ping tun
坪湾	ping wan
坪湾村	ping wan cun
坪围	ping wei
坪尾	ping wei
坪尾村	ping wei cun
坪窝	ping wo
坪溪	ping xi
坪溪村	ping xi cun
坪溪村民委员会	ping xi cun min wei yuan hui
坪溪河	ping xi he
坪溪水库	ping xi shui ku
坪西	ping xi
坪西村	ping xi cun
坪西村天桥	ping xi cun tian qiao
坪西村委	ping xi cun wei
坪西居委	ping xi ju wei
坪西路口	ping xi lu kou
坪西社区	ping xi she qu
坪西市场	ping xi shi chang
坪西小学	ping xi xiao xue
坪下	ping xia
坪下村	ping xia cun
坪下河村委会	ping xia he cun wei hui
坪仙	ping xian
坪现	ping xian
坪乡	ping xiang
坪巷	ping xiang
坪效	ping xiao
坪斜	ping xie
坪心	ping xin
坪新	ping xin
坪新村	ping xin cun
坪兴	ping xing
坪形	ping xing
坪形村	ping xing cun
坪星村	ping xing cun
坪墟	ping xu
坪亚	ping ya
坪垭	ping ya
坪垭村	ping ya cun
坪垭藏族乡	ping ya zang zu xiang
坪堰村	ping yan cun
坪岩	ping yan
坪岩村	ping yan cun
坪沿	ping yan
坪烟	ping yan
坪垟	ping yang
坪垟岗	ping yang gang
坪样	ping yang
坪洋	ping yang
坪洋村	ping yang cun
坪洋镇	ping yang zhen
坪阳	ping yang
坪阳村	ping yang cun
坪阳庙乡	ping yang miao xiang
坪阳乡	ping yang xiang
坪一	ping yi
坪一组	ping yi zu
坪义村	ping yi cun
坪益	ping yi
坪益村	ping yi cun
坪荫	ping yin
坪营	ping ying
坪淤头	ping yu tou
坪原	ping yuan
坪原村	ping yuan cun
坪原路	ping yuan lu
坪园	ping yuan
坪园村	ping yuan cun
坪塬	ping yuan
坪源	ping yuan
坪源村	ping yuan cun
坪院	ping yuan
坪仔	ping zai
坪寨	ping zhai
坪寨村	ping zhai cun
坪寨村委会	ping zhai cun wei hui
坪寨林场	ping zhai lin chang
坪寨乡	ping zhai xiang
坪寨小学	ping zhai xiao xue
坪寨彝族乡	ping zhai yi zu xiang
坪政	ping zheng
坪峙岛	ping zhi dao
坪峙仔	ping zhi zai
坪中	ping zhong
坪中村	ping zhong cun
坪中路	ping zhong lu
坪洲	ping zhou
坪洲百货	ping zhou bai huo
坪洲地铁	ping zhou di tie
坪洲地铁站	ping zhou di tie zhan
坪洲码头	ping zhou ma tou
坪洲新村	ping zhou xin cun
坪洲站	ping zhou zhan
坪竹	ping zhu
坪庄	ping zhuang
坪庄村	ping zhuang cun
坪庄乡	ping zhuang xiang
坪庄乡韩则岭村卫生所	ping zhuang xiang han ze ling cun wei sheng suo
坪墌	ping zhuo
坪墌村村民委员会	ping zhuo cun cun min wei yuan hui
坪子	ping zi
坪子村	ping zi cun
坪子地	ping zi di
坪子山	ping zi shan
坪子上	ping zi shang
坪子头	ping zi tou
坪子小学	ping zi xiao xue
坪子寨	ping zi zhai
娉板皵閲嶅伐	ping ban que yue ao fa
娉得良人	ping de liang ren
娉会	ping hui
娉娉嫋嫋	ping ping niao niao
娉娉袅袅	ping ping niao niao
娉娉袅袅十三余	ping ping niao niao shi san yu
娉娉袅袅十三馀豆蔻梢头二月初	ping ping niao niao shi san yu dou kou shao tou er yue chu
娉娉褭褭	ping ping niao niao
娉娉弱絮堕	ping ping ruo xu duo
娉饰珠宝	ping shi zhu bao
娉婷	ping ting
娉婷婀娜	ping ting e nuo
娉婷更欲向何人	ping ting geng yu xiang he ren
娉婷国际美容品有限公司	ping ting guo ji mei rong pin you xian gong si
娉婷红粉歌金缕歌与桃花柳絮听	ping ting hong fen ge jin lv ge yu tao hua liu xu ting
娉婷红粉妆	ping ting hong fen zhuang
娉婷嬝娜	ping ting niao na
娉婷袅娜	ping ting niao nuo
娉婷十翠娥	ping ting shi cui e
娉婷十七八	ping ting shi qi ba
娉婷十五六	ping ting shi wu liu
娉婷十五胜天仙	ping ting shi wu sheng tian xian
娉婷似不任罗绮	ping ting si bu ren luo qi
娉婷小鲈	ping ting xiao lu
娉婷小苑中	ping ting xiao yuan zhong
娉婷油纹鲈	ping ting you wen lu
娉婷玉立	ping ting yu li
娉婷玉立华丽	ping ting yu li hua li
娉婷玉立幻	ping ting yu li huan
娉婷玉立珍稀	ping ting yu li zhen xi
娉婷蕴藉	ping ting yun jie
屏保查杀	ping bao cha sha
屏保膜	ping bao mo
屏保贴	ping bao tie
屏保主题	ping bao zhu ti
屏北二路西	ping bei er lu xi
屏北二路中	ping bei er lu zhong
屏北三路东	ping bei san lu dong
屏北三路西	ping bei san lu xi
屏北三路中	ping bei san lu zhong
屏北一路东	ping bei yi lu dong
屏北一路西	ping bei yi lu xi
屏北一路中	ping bei yi lu zhong
屏北中学	ping bei zhong xue
屏背椅	ping bei yi
屏敝	ping bi
屏笔	ping bi
屏蔽	ping bi
屏蔽安装线	ping bi an zhuang xian
屏蔽包制机	ping bi bao zhi ji
屏蔽泵	ping bi beng
屏蔽编织	ping bi bian zhi
屏蔽编织编织屏蔽	ping bi bian zhi bian zhi ping bi
屏蔽编织编织屏蔽层	ping bi bian zhi bian zhi ping bi ceng
屏蔽编织层	ping bi bian zhi ceng
屏蔽材料	ping bi cai liao
屏蔽层	ping bi ceng
屏蔽层的特殊互联	ping bi ceng de te shu hu lian
屏蔽常数	ping bi chang shu
屏蔽措施	ping bi cuo shi
屏蔽带	ping bi dai
屏蔽袋	ping bi dai
屏蔽单位	ping bi dan wei
屏蔽导体电缆	ping bi dao ti dian lan
屏蔽导线	ping bi dao xian
屏蔽导线鉝	ping bi dao xian li
屏蔽垫层混合物	ping bi dian ceng hun he wu
屏蔽垫圈	ping bi dian quan
屏蔽点火线	ping bi dian huo xian
屏蔽电泵	ping bi dian beng
屏蔽电弧	ping bi dian hu
屏蔽电机	ping bi dian ji
屏蔽电极	ping bi dian ji
屏蔽电缆	ping bi dian lan
屏蔽掉	ping bi diao
屏蔽掉今晚的	ping bi diao jin wan de
屏蔽度	ping bi du
屏蔽对绞电缆	ping bi dui jiao dian lan
屏蔽对绞式数据传输电缆	ping bi dui jiao shi shu ju chuan shu dian lan
屏蔽对绞线芯成缆装置	ping bi dui jiao xian xin cheng lan zhuang zhi
屏蔽房	ping bi fang
屏蔽方式	ping bi fang shi
屏蔽防护	ping bi fang hu
屏蔽防区	ping bi fang qu
屏蔽服	ping bi fu
屏蔽覆盖率	ping bi fu gai lv
屏蔽盖	ping bi gai
屏蔽干扰	ping bi gan rao
屏蔽核	ping bi he
屏蔽盒	ping bi he
屏蔽盒盖	ping bi he gai
屏蔽横截面	ping bi heng jie mian
屏蔽环形天线	ping bi huan xing tian xian
屏蔽簧片	ping bi huang pian
屏蔽寄存器	ping bi ji cun qi
屏蔽机	ping bi ji
屏蔽机柜	ping bi ji gui
屏蔽交叉网线	ping bi jiao cha wang xian
屏蔽胶片	ping bi jiao pian
屏蔽介质	ping bi jie zhi
屏蔽接地	ping bi jie di
屏蔽接地电阻法测并	ping bi jie di dian zu fa ce bing
屏蔽界限	ping bi jie xian
屏蔽结构	ping bi jie gou
屏蔽绝缘系统用连接箱	ping bi jue yuan xi tong yong lian jie xiang
屏蔽卡条	ping bi ka tiao
屏蔽可分离连接器	ping bi ke fen li lian jie qi
屏蔽壳	ping bi ke
屏蔽控制电缆	ping bi kong zhi dian lan
屏蔽框	ping bi kuang
屏蔽矿用电缆	ping bi kuang yong dian lan
屏蔽了	ping bi le
屏蔽连接部件	ping bi lian jie bu jian
屏蔽率	ping bi lv
屏蔽门	ping bi men
屏蔽门故障	ping bi men gu zhang
屏蔽膜	ping bi mo
屏蔽母线	ping bi mu xian
屏蔽扭绞对线组	ping bi niu jiao dui xian zu
屏蔽扭绞三线组	ping bi niu jiao san xian zu
屏蔽其他玩家造型	ping bi qi ta wan jia zao xing
屏蔽墙	ping bi qiang
屏蔽强	ping bi qiang
屏蔽群消息了	ping bi qun xiao xi le
屏蔽生成器碎片	ping bi sheng cheng qi sui pian
屏蔽室	ping bi shi
屏蔽式	ping bi shi
屏蔽式应变计	ping bi shi ying bian ji
屏蔽衰减	ping bi shuai jian
屏蔽双导线馈电线	ping bi shuang dao xian kui dian xian
屏蔽双绞线	ping bi shuang jiao xian
屏蔽双线	ping bi shuang xian
屏蔽摊位招牌	ping bi tan wei zhao pai
屏蔽套	ping bi tao
屏蔽套管	ping bi tao guan
屏蔽体	ping bi ti
屏蔽天线	ping bi tian xian
屏蔽筒	ping bi tong
屏蔽透镜	ping bi tou jing
屏蔽腿	ping bi tui
屏蔽网	ping bi wang
屏蔽网线	ping bi wang xian
屏蔽物	ping bi wu
屏蔽系数	ping bi xi shu
屏蔽现象	ping bi xian xiang
屏蔽线	ping bi xian
屏蔽线对	ping bi xian dui
屏蔽线圈	ping bi xian quan
屏蔽线组	ping bi xian zu
屏蔽向量	ping bi xiang liang
屏蔽效能	ping bi xiao neng
屏蔽效应	ping bi xiao ying
屏蔽信号	ping bi xin hao
屏蔽芯	ping bi xin
屏蔽药水	ping bi yao shui
屏蔽仪	ping bi yi
屏蔽因素	ping bi yin su
屏蔽阴极	ping bi yin ji
屏蔽暂堵技术	ping bi zan du ji shu
屏蔽罩	ping bi zhao
屏蔽直径	ping bi zhi jing
屏蔽直通网线	ping bi zhi tong wang xian
屏蔽状态	ping bi zhuang tai
屏蔽装甲	ping bi zhuang jia
屏蔽作用	ping bi zuo yong
屏边	ping bian
屏边凹柱苣苔	ping bian ao zhu ju tai
屏边半蒴苣苔	ping bian ban shuo ju tai
屏边叉柱兰	ping bian cha zhu lan
屏边杜鹃	ping bian du juan
屏边杜英	ping bian du ying
屏边耳蕨	ping bian er jue
屏边桂	ping bian gui
屏边孩儿草	ping bian hai er cao
屏边含笑	ping bian han xiao
屏边红豆	ping bian hong dou
屏边厚壳树	ping bian hou ke shu
屏边胡椒	ping bian hu jiao
屏边黄芩	ping bian huang qin
屏边金线兰	ping bian jin xian lan
屏边开口箭	ping bian kai kou jian
屏边柯	ping bian ke
屏边拉拉藤	ping bian la la teng
屏边柃	ping bian ling
屏边楼梯草	ping bian lou ti cao
屏边苗族自治县	ping bian miao zu zi zhi xian
屏边苗族自治县计划生育服务站	ping bian miao zu zi zhi xian ji hua sheng yu fu wu zhan
屏边苗族自治县其他机构	ping bian miao zu zi zhi xian qi ta ji gou
屏边苗族自治县卫生防疫站	ping bian miao zu zi zhi xian wei sheng fang yi zhan
屏边苗族自治县中医院	ping bian miao zu zi zhi xian zhong yi yuan
屏边南星	ping bian nan xing
屏边苹婆	ping bian ping po
屏边三七	ping bian san qi
屏边山柑	ping bian shan gan
屏边蛇根草	ping bian she gen cao
屏边石笔木	ping bian shi bi mu
屏边双蝴蝶	ping bian shuang hu die
屏边水锦树	ping bian shui jin shu
屏边铁线莲	ping bian tie xian lian
